=== Agent Install Log ===
=== Agent Compile Log ===
=== Agent Error Log ===
Gym has been unmaintained since 2022 and does not support NumPy 2.0 amongst other critical functionality.
Please upgrade to Gymnasium, the maintained drop-in replacement of Gym, or contact the authors of your software and request that they upgrade.
Users of this version of Gym should be able to simply replace 'import gym' with 'import gymnasium as gym' in the vast majority of cases.
See the migration guide at https://gymnasium.farama.org/introduction/migration_guide/ for additional information.
/tmp/lux-agent-bundle-check.3QlSo8/survival_strategic_agent/lux_ai/nns/in_blocks.py:166: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at /pytorch/torch/csrc/utils/tensor_new.cpp:254.)
  in_tensor = in_tensor[
Turn: 0 - Predicted value: -0.06 - Timing info: {Observation processing: 0.01 - Model inference: 0.13 - Collision detection: 0.02} - Remaining overage time: 60.00
Turn: 1 - Predicted value: 0.11 - Timing info: {Observation processing: 0.00 - Model inference: 0.05 - Collision detection: 0.01} - Remaining overage time: 60.00
Turn: 2 - Predicted value: 0.11 - Timing info: {Observation processing: 0.00 - Model inference: 0.05 - Collision detection: 0.01} - Remaining overage time: 60.00
Turn: 3 - Predicted value: 0.28 - Timing info: {Observation processing: 0.04 - Model inference: 0.06 - Collision detection: 0.01} - Remaining overage time: 60.00
Turn: 4 - Predicted value: 0.33 - Timing info: {Observation processing: 0.01 - Model inference: 0.06 - Collision detection: 0.01} - Remaining overage time: 60.00
Turn: 5 - Predicted value: 0.30 - Timing info: {Observation processing: 0.01 - Model inference: 0.05 - Collision detection: 0.01} - Remaining overage time: 60.00
Turn: 6 - Predicted value: 0.47 - Timing info: {Observation processing: 0.00 - Model inference: 0.05 - Collision detection: 0.01} - Remaining overage time: 60.00
Turn: 7 - Predicted value: 0.50 - Timing info: {Observation processing: 0.00 - Model inference: 0.05 - Collision detection: 0.01} - Remaining overage time: 60.00
Turn: 8 - Predicted value: 0.65 - Timing info: {Observation processing: 0.01 - Model inference: 0.05 - Collision detection: 0.01} - Remaining overage time: 60.00
Turn: 9 - Predicted value: 0.64 - Timing info: {Observation processing: 0.01 - Model inference: 0.06 - Collision detection: 0.01} - Remaining overage time: 60.00
Turn: 10 - Predicted value: 0.72 - Timing info: {Observation processing: 0.01 - Model inference: 0.07 - Collision detection: 0.02} - Remaining overage time: 60.00
Turn: 11 - Predicted value: 0.75 - Timing info: {Observation processing: 0.01 - Model inference: 0.07 - Collision detection: 0.02} - Remaining overage time: 60.00
Turn: 12 - Predicted value: 0.86 - Timing info: {Observation processing: 0.01 - Model inference: 0.05 - Collision detection: 0.01} - Remaining overage time: 60.00
Turn: 13 - Predicted value: 0.89 - Timing info: {Observation processing: 0.01 - Model inference: 0.07 - Collision detection: 0.03} - Remaining overage time: 60.00
Turn: 14 - Predicted value: 1.00 - Timing info: {Observation processing: 0.01 - Model inference: 0.06 - Collision detection: 0.01} - Remaining overage time: 60.00
Turn: 15 - Predicted value: 1.02 - Timing info: {Observation processing: 0.01 - Model inference: 0.06 - Collision detection: 0.02} - Remaining overage time: 60.00
Turn: 16 - Predicted value: 1.07 - Timing info: {Observation processing: 0.01 - Model inference: 0.06 - Collision detection: 0.02} - Remaining overage time: 60.00
Turn: 17 - Predicted value: 1.16 - Timing info: {Observation processing: 0.01 - Model inference: 0.07 - Collision detection: 0.02} - Remaining overage time: 60.00
Turn: 18 - Predicted value: 1.22 - Timing info: {Observation processing: 0.01 - Model inference: 0.07 - Collision detection: 0.02} - Remaining overage time: 60.00
Turn: 19 - Predicted value: 1.29 - Timing info: {Observation processing: 0.01 - Model inference: 0.07 - Collision detection: 0.02} - Remaining overage time: 60.00
Turn: 20 - Predicted value: 1.36 - Timing info: {Observation processing: 0.01 - Model inference: 0.07 - Collision detection: 0.02} - Remaining overage time: 60.00
Turn: 21 - Predicted value: 1.33 - Timing info: {Observation processing: 0.01 - Model inference: 0.06 - Collision detection: 0.01} - Remaining overage time: 60.00
Turn: 22 - Predicted value: 1.37 - Timing info: {Observation processing: 0.01 - Model inference: 0.06 - Collision detection: 0.01} - Remaining overage time: 60.00
Turn: 23 - Predicted value: 1.39 - Timing info: {Observation processing: 0.01 - Model inference: 0.06 - Collision detection: 0.01} - Remaining overage time: 60.00
Turn: 24 - Predicted value: 1.45 - Timing info: {Observation processing: 0.01 - Model inference: 0.07 - Collision detection: 0.02} - Remaining overage time: 60.00
Turn: 25 - Predicted value: 1.48 - Timing info: {Observation processing: 0.01 - Model inference: 0.07 - Collision detection: 0.02} - Remaining overage time: 60.00
Turn: 26 - Predicted value: 1.49 - Timing info: {Observation processing: 0.00 - Model inference: 0.05 - Collision detection: 0.01} - Remaining overage time: 60.00
Turn: 27 - Predicted value: 1.49 - Timing info: {Observation processing: 0.00 - Model inference: 0.05 - Collision detection: 0.01} - Remaining overage time: 60.00
Turn: 28 - Predicted value: 1.60 - Timing info: {Observation processing: 0.00 - Model inference: 0.05 - Collision detection: 0.01} - Remaining overage time: 60.00
Turn: 29 - Predicted value: 1.79 - Timing info: {Observation processing: 0.00 - Model inference: 0.06 - Collision detection: 0.01} - Remaining overage time: 60.00
Turn: 30 - Predicted value: 1.97 - Timing info: {Observation processing: 0.00 - Model inference: 0.05 - Collision detection: 0.01} - Remaining overage time: 60.00
Turn: 31 - Predicted value: 1.53 - Timing info: {Observation processing: 0.00 - Model inference: 0.05 - Collision detection: 0.01} - Remaining overage time: 60.00
Turn: 32 - Predicted value: 1.51 - Timing info: {Observation processing: 0.00 - Model inference: 0.05 - Collision detection: 0.01} - Remaining overage time: 60.00
