=== Agent Install Log ===
=== Agent Compile Log ===
=== Agent Error Log ===
Gym has been unmaintained since 2022 and does not support NumPy 2.0 amongst other critical functionality.
Please upgrade to Gymnasium, the maintained drop-in replacement of Gym, or contact the authors of your software and request that they upgrade.
Users of this version of Gym should be able to simply replace 'import gym' with 'import gymnasium as gym' in the vast majority of cases.
See the migration guide at https://gymnasium.farama.org/introduction/migration_guide/ for additional information.
/tmp/lux_candidate_fixed_0555136_019fefc2/lux_ai/nns/in_blocks.py:166: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at /pytorch/torch/csrc/utils/tensor_new.cpp:254.)
  in_tensor = in_tensor[
Turn: 0 - Predicted value: -0.03 - Timing info: {Observation processing: 0.00 - Model inference: 0.07 - Collision detection: 0.02} - Remaining overage time: 60.00
Turn: 1 - Predicted value: -0.01 - Timing info: {Observation processing: 0.00 - Model inference: 0.05 - Collision detection: 0.01} - Remaining overage time: 60.00
Turn: 2 - Predicted value: 0.04 - Timing info: {Observation processing: 0.00 - Model inference: 0.05 - Collision detection: 0.01} - Remaining overage time: 60.00
Turn: 3 - Predicted value: 0.25 - Timing info: {Observation processing: 0.00 - Model inference: 0.05 - Collision detection: 0.01} - Remaining overage time: 60.00
Turn: 4 - Predicted value: 0.18 - Timing info: {Observation processing: 0.00 - Model inference: 0.06 - Collision detection: 0.01} - Remaining overage time: 60.00
Turn: 5 - Predicted value: 0.13 - Timing info: {Observation processing: 0.00 - Model inference: 0.06 - Collision detection: 0.01} - Remaining overage time: 60.00
Turn: 6 - Predicted value: 0.24 - Timing info: {Observation processing: 0.00 - Model inference: 0.06 - Collision detection: 0.01} - Remaining overage time: 60.00
Turn: 7 - Predicted value: 0.21 - Timing info: {Observation processing: 0.00 - Model inference: 0.06 - Collision detection: 0.01} - Remaining overage time: 60.00
Turn: 8 - Predicted value: 0.21 - Timing info: {Observation processing: 0.00 - Model inference: 0.05 - Collision detection: 0.04} - Remaining overage time: 60.00
Turn: 9 - Predicted value: 0.23 - Timing info: {Observation processing: 0.00 - Model inference: 0.05 - Collision detection: 0.01} - Remaining overage time: 60.00
Turn: 10 - Predicted value: 0.48 - Timing info: {Observation processing: 0.00 - Model inference: 0.06 - Collision detection: 0.02} - Remaining overage time: 60.00
Turn: 11 - Predicted value: 0.68 - Timing info: {Observation processing: 0.01 - Model inference: 0.05 - Collision detection: 0.01} - Remaining overage time: 60.00
Turn: 12 - Predicted value: 1.47 - Timing info: {Observation processing: 0.00 - Model inference: 0.05 - Collision detection: 0.01} - Remaining overage time: 60.00
Turn: 13 - Predicted value: 1.64 - Timing info: {Observation processing: 0.00 - Model inference: 0.05 - Collision detection: 0.01} - Remaining overage time: 60.00
Turn: 14 - Predicted value: 1.42 - Timing info: {Observation processing: 0.00 - Model inference: 0.05 - Collision detection: 0.01} - Remaining overage time: 60.00
Turn: 15 - Predicted value: 1.46 - Timing info: {Observation processing: 0.01 - Model inference: 0.05 - Collision detection: 0.01} - Remaining overage time: 60.00
Turn: 16 - Predicted value: 1.30 - Timing info: {Observation processing: 0.00 - Model inference: 0.06 - Collision detection: 0.01} - Remaining overage time: 60.00
Turn: 17 - Predicted value: 1.04 - Timing info: {Observation processing: 0.01 - Model inference: 0.05 - Collision detection: 0.01} - Remaining overage time: 60.00
Turn: 18 - Predicted value: 1.46 - Timing info: {Observation processing: 0.01 - Model inference: 0.05 - Collision detection: 0.01} - Remaining overage time: 60.00
Turn: 19 - Predicted value: 1.83 - Timing info: {Observation processing: 0.01 - Model inference: 0.06 - Collision detection: 0.01} - Remaining overage time: 60.00
Turn: 20 - Predicted value: 2.14 - Timing info: {Observation processing: 0.01 - Model inference: 0.05 - Collision detection: 0.01} - Remaining overage time: 60.00
